_key,id,nome,porcao,base_unit,category_id,proteina,attributes/protein/unit,lipidio,attributes/lipid/unit,carboidrato,attributes/carbohydrate/unit,sodio,attributes/sodium/unit,caloria,attributes/energy/kj
292,293,"Corvina grande, assada",100,g,5,26.7666666666667,g,3.57366666666667,g,,,85.352,mg,146.528141125361,613.073742468511
293,294,"Corvina grande, cozida",100,g,5,23.4375,g,2.56266666666667,g,,,68.39,mg,100.078124552965,418.726873129606
294,295,"Dourada de agua doce, fresca",100,g,5,18.8104166666667,g,5.64166666666667,g,,,40.2976666666667,mg,131.20831472377,548.975588804253
295,296,"Lambari, congelado, cru",100,g,5,16.8125,g,6.54666666666667,g,,,47.92,mg,130.840311009487,547.435861263692
296,297,"Lambari, congelado, frito",100,g,5,28.425,g,22.782,g,,,64.5516666666667,mg,326.868399886608,1367.61738512557
297,298,"Lambari, fresco,cru",100,g,5,15.6520833333333,g,9.39733333333333,g,,,41.1093333333333,mg,151.598346503218,634.287481769464
298,299,"Manjuba, com farinha de trigo, frita",100,g,5,23.45,g,22.593,g,10.2403333333333,g,36.52,mg,343.550458723068,1437.41511929732
299,300,"Manjuba, frita",100,g,5,30.1395833333333,g,24.46,g,,,40.61,mg,349.325231455366,1461.57676840925
300,301,"Merluza, file, assado",100,g,5,26.6041666666667,g,0.921333333333333,g,,,119.948666666667,mg,121.910218333333,510.072353506667
301,302,"Merluza, file, cru",100,g,5,16.6066666666667,g,2.02,g,,,79.5033333333333,mg,89.1308666666667,372.923546133333
302,303,"Merluza, file, frito",100,g,5,26.9291666666667,g,8.49666666666667,g,,,89.9613333333333,mg,191.627478375832,801.769369524482
303,304,"Pescada, branca, crua",100,g,5,16.2633333333333,g,4.59333333333333,g,,,76.1666666666667,mg,110.8763,463.9064392
304,305,"Pescada, branca, frita",100,g,5,27.35625,g,11.777,g,,,107.232666666667,mg,223.039732369304,933.198240233167
305,306,"Pescada, file, com farinha de trigo, frito",100,g,5,21.4354166666667,g,19.115,g,5.03325000000001,g,90.5066666666667,mg,283.425214431961,1185.85109718333
306,307,"Pescada, file, cru",100,g,5,16.65,g,4.00333333333333,g,,,77.4966666666667,mg,107.205566666667,448.548090933333
